Rank,Index,Answer
38,11388,"Two things to consider: When it comes to advice, don't be ""Penny wise and Pound foolish"". It is an ongoing debate whether active management vs passive indexes are a better choice, and I am sure others can give good arguments for both sides. I look at it as you are paying for advice. If your adviser will teach you about investing and serve your interests, having his advise will probably prevent you from making some dumb mistakes. A few mistakes (such as jumping in/out of markets based on fear/speculation) can eliminate any savings in fees. However, if you feel confident that you have the resources and can make good decisions, why pay for advise you don't need? EDIT In this case, my opinion is that you don't need a complex plan at this time. The money you would spend on financial advise would not be the best use of the funds.  That said, to your main question, I would delay making any long-term decisions with these funds until you know you are done with your education and on an established career path. This period of your life can be very volatile, and you may find yourself halfway through college and wanting to change majors or start a different path. Give yourself the option to do that by deferring long-term investment decisions until you have more stability. For that reason, I would avoid focusing on retirement savings. As others point out, you are limited in how much you can contribute per year. If you want to start, ROTH is your best bet, but if you put it in don't pull it out. That is a bad habit to get into. Personal finance is as much about developing habits as it is doing math... A low-turnover index fund may be appropriate, but you don't want to end up where you want to buy a house or start a business and your investment has just lost 10%...  I would keep at least half in a liquid, safe account until after graduation. Any debt you incur because you tied up this money will eliminate any investment gains (if any). Good Luck! EDITED to clarify retirement savings"
39,16551,"You may want to look into robo-investors like Wealthfront and Betterment. There are many others, just search for ""robo investor""."
40,9444,"I think you might be asking the wrong question. You have plenty of capital on the side that can be invested. Instead of asking whether you should get an adviser, you might want to examine what your end goal is. Are you looking to build long term growth of you capital? Are you asking about and adviser because you don't want to handle your money, or is it simply because ""that's what people do?"" I would imagine that the answer to 1. is yes and that the answer to 2. is that you want to handle your money, and you always considered this something best left to the advisers. I shall proceed on these hypothetical assumptions. In my humble opinion, I would do the following: Skip the adviser and the fees that go with it. For a young professional like yourself, especially with an engineering background, you can certainly handle the education required to learn the mechanics of investing. Invest some time to learn the fundamentals of the market such as asset classes, basic terminology ect. You will benefit in several ways. For one, you will learn an invaluable skill and save tens of thousands in fees during your lifetime. Moreover, you will have complete control of your risk profile, allocation, and every penny that belongs to you. I really am not bashing advisers, but no one will care as much about your money as you will. And don't be fooled. The market is efficient. An adviser does not have any more edge in a market than anyone else. And from first hand experience, they rarely outperform benchmarks net of fees. I assume you have made it to this step because you want to manage your own money and financial future. Sounds scary, how should one proceed? Let's assume that $100,000 is ""in play"". And since you are learning the ropes, let's leave $50,000 in cash for now. This leaves $50,000 to start a portfolio. I'd start by building a core position of all the major asset classes in ETF form. This means buying things like SPY or TLT. If you're comfortable, you can start selling monthly calls against these positions to reduce basis and earn some income. The point is, your only limitation at this point is taking time to learn the ropes. The technology is there, the free education is there, and liquidity and product mix is there. Next thing you know you're learning how gamma scalping works, or maybe you're more of a Buffett type.  This is how I view finance in general, and truly hope you break through the initial barrier to controling your own finances."
41,8379,Any investment advice that is not targeted to your situation should be avoided.
42,291,"An accountant should be able to advise on the tax consequences of different classes of investments/assets/debts (e.g. RRSP, TFSA, mortgage). But I would not ask an accountant which specific securities to hold in these vehicles, or what asset allocation (in terms of geography, capitalization, or class (equity vs fixed income vs derivatives vs structured notes etc). An investment advisor would be better suited to matching your investments to your risk tolerance."
43,8378,"To evaluate any advice, this lists some of the things to consider: There are good advisors out there. There are also Bernie Madoffs who give the entire industry a black eye. In the end, the best path is to educate yourself, read as much as you can before you invest. Better to lose a bit by staying out of the market than to lose it all by getting scammed."
44,11390,"If you use a financial planner not only should they be a fiduciary but you should just pay them an hourly rate once a year instead of a percentage unless the percentage is cheaper at this time. To find a good one, go to the National Association of Personal Financial Advisers website, NAPFA.org. Another good resource is Garrett Planning Network: GarrettPlanningNetwork.com."
45,6971,"You might want to talk with your financial planner about any or all of the following: as well as Some of these offer the guarantee of a minimal amount of interest, as well as the ability to take a loan out against the cash value, without lapsing the policy.  They may also offer certain tax advantages depending upon your jurisdiction and situation."
46,13236,"Sounds like you are starting an investment club. What you need is an investment club partnership agreement. Have a look at this free document. EDIT Based on OP's comments, it appears that the OP will be acting as an adviser/manager of a private investment fund. If the fund is not open to the public, it may still be treated as a type of investment club, but different rules -- including possibly having to register with the SEC -- may apply (quoted from the first link): If the adviser is compensated for providing the advice regarding the club's investments, the adviser may need to register according to the Investment Advisers Act of 1940. Also, if one person selects investments for the club, that person may have to register as an investment adviser. In general, a person who has $25 million or more in assets under management is required to register with the SEC under the Investment Advisers Act of 1940. A person managing less than $25 million may be required to register under the securities laws of the state or states in which the adviser transacts business."
47,7008,"You need a license/registration to be a ""conventional"" financial planner.  But as long as your work is limited to budgets, and cash flow analysis, it may be more like accounting. In your shoes, I would consult the local CPA association about what you need (if anything) to do what you're doing."
48,7006,"I think it's great that you want to contribute. Course Instructor You may want to take a look at becoming an instructor for a course like Dave Ramsey's Financial Peace University. These are commonly offered through churches and other community venues for a fee. This may be a good fit if you want to focus on basic financial literacy, setting up and sticking to a budget, and getting their financial ""house"" in order. It may not be a good fit if you don't want to teach an existing curriculum, or if you find the tenets of the course too unpalatable. A significant number of the people in Dave's audience are close to or in the middle of a financial meltdown, and so his advice includes controversial ideas such as avoiding credit altogether, often because that's how they got into their current mess. Counselor If you want to run your own show, I know of several people who have built their own practice that is run along the lines of a counselor charging hourly rates, and they work with couples who are having money problems. Building a reputation and a network of referring counselors and professionals is key here, and definitely seems like it would require a full-time commitment. I would avoid ""credit counseling"" and the like. Most of these organizations are focused on restructuring credit card debt, not spending signficant time on behavioral change. You don't need a series 7, 63, 65 etc. or even a CFA. I've previously acquired a number of these and can confirm that they are investment credentials that are intended to help you get a job and/or get more business as a broker or conventional financial planner, i.e. salesperson of securities. The licensure process is necessary to protect consumers from advice that serves the investment sales force but is bad for the consumer, and because you must be licensed to provide investment advice. There is a class of fee-only financial planners, but they primarily deal with complex issues that allow them to make money, and often give away basic personal finance advice for free in the form of articles, podcasts, etc.  Charity For part-time or free work, in my area there are also several charity organizations that help people do their taxes and provide basic budgeting and personal finance instruction, but this is very localized and may vary quite a bit depending on where you live. However, if there are none near you, you can always start one! Journalism If you have an interest in writing, there are also people who work as journalists and write columns, books, or newsletters, and it is much easier now to publish and build a network online, either on your own, through a blog or contributing to a website. Speaker at Community events There are also many opportunities to speak to a specific community such as a church or social organization. For example, where I live there are local organizations for Spanish speaking, Polish speaking, elderly, young professional, young mother and retiree groups for example, all of who might be interested in your advice on issues that specifically address their needs. Good luck!"
49,10852,"Whether you use a professional financial planner or not, the basic steps are the same. It seems like you have done some detailed work on step 1, perhaps less detail (but not necessarily insufficient detail) on step 2, and concluded that you don't need to change anything in step 3. That's fine - if you concluded that you don't need to change anything, then you don't need to change anything! What you need to do from now on is There is nothing complicated or difficult about any of this. To paraphrase Charles Dickens, ""Income greater than expenditure - result, happiness. Income less than expenditure - result misery.""  Talking to a financial planner might encourage you to spend less (though of course you just acquired a new expense, ""buying financial planning advice""), just like joining to Weight Watchers might encourage you to eat less or exercise more. But in the end, it's you who have to take the action - other people can't do it for you."
50,9792,"Also, my wealth manager doesn't like to discuss my money with me. To some extent, I understand this because finances are not my forte This is akin to porn surfing all day at your job instead of writing code, fire him ASAP. For now I would stick it in a bank account until you are comfortable and understand the investments you are purchasing.   Here are some options to consider: The last one is tricky.  You might have to interview several in order to find that one gem.  With you being so young it is unlikely any of your friends have a need for such a service.  I would concentrate on asking older work colleagues or friends of your parents for recommendations.  Ask if they are educated by their adviser.   In the end it would really pay for you to educate yourself about finances.  No one can quite do as good as a job as you can in this area.  You recognize that there was a problem with your current guy, that shows wisdom.  If you have an interest in this area, I would recommend attending a Financial Peace University class.  All my kids (about your age and older) are required to take it.  It will help you navigate debt, mortgages, insurance, and investing and will cost you about $100.  If you don't learn enough the first time, and you won't, you can repeat the course as many times as you wish for no additional cost."
