Rank,Index,Answer
41,6608,"I am sure there would be many views on the above topic, my take is that DIY takes the following: Now, for many, one or more of the other factors are missing. In this case, it is probably best to go for a financial adviser. There are others who have some of the above in place and are interested but probably cannot spend enough time. For them a middle ground of Mutual Funds probably is a good choice. Here they get to choose the fund they invest in and the fund manager manages the fund. For the people who have the above more or less in place and also are willing to take risk and learn, they probably can do a DIY for a while and find out the actual result. Just my views and opinion."
42,16701,"There is no rule of thumb (although some may suggest there is). Everybody will have different goals, investment preferences and risk tolerances. You need to figure this out by yourself by either education yourself in the type of investments you are interested in or by engaging (and paying for) a financial advisor. You should not be taking advice from others unless it is specifically geared for your goals, investment DNA and risk tolerance. The only advice I would give you is to have a plan (whether you develop it yourself or pay a financial advisor to develop one). Also, don't have all your savings sitting in cash, as long-term you will fall behind the eight ball in real returns (allowing for inflation)."
43,1745,"Until you get some financial education, you will be vulnerable to people wanting your money.  Once you are educated, you will be able to live a tidy life off this-- which is exactly why this amount was awarded to you, rather than some other amount.    They gave you enough money.  This is not a lottery win.  I mean ""financial counselors"" who will want to help you with strategies to invest your money.  Every one will promise your money will grow.   The latter case describes every full-service broker, e.g. what will happen if you walk into EdwardJones.  This industry has a long tradition of charmingly selling investments which significantly underperform the market, and making their money by kickbacks (sales commissions) from those investments (which is why they significantly underperform.)   They also offer products which are unnecessarily complex meant to confuse customers and hide fees. One mark of trouble is ""early exit"" fees, which they need to recoup the sales commission they already paid out.  Unfortunately, one of those people is you.  You are treating this like a windfall, falling into old, often-repeated cliché of ""lottery-win thinking"".  ""Gosh, there's so much money there, what could go wrong?""  This always ends in disaster and destitution, on top of your other woes.  It's not a windfall.  They gave you just enough money to live on - barely. Because these lawyers and judges do this all day every day, and they know exactly how much capital will replace a lifelong salary, and if anything you got cheated a bit.  Read on.   You don't want to feel like greedy Scrooge, hoarding every penny.  I get that.  But generous spending won't fix that.  What will is financial education, and once you have real understanding and certainty about your financial situation, you will be able to both provide for yourself and be giving in a sensible manner.   This stuff isn't taught in school.  If it was, there'd be a lot more millionaires, because wealth isn't about luck, it's about intelligent management of money.  Good advisers do exist. They're hard to find.  Good advisors work only one way: for a flat rate or hourly fee.  This is called a ""Fee-only advisor"".  S/he never takes commissions.  Beware of brokers who normally work on commission but will happily take an upfront fee.  Even if they promise to hand you their commission check, they're still recommending you into the same sub-par investments because that's their training! I get the world of finance is extremely confusing and it's hard to know where to start.  Just make one leap of faith with me: You can learn this.  One place it's not confusing: University endowments.  They get windfalls just like you, and they need to manage it to support them for a very long time, just like you.  Endowments are very closely watched by the smartest people in finance -- no lottery fever here. It's agreed by all that there is one best way to invest an endowment.  And it's mandatory by law.  An endowment is a chunk of money (say, $1.2 million) that must fund a purpose (say, a math professorship or ""chair"") in perpetuity.  You're not planning to live quite that long, but when you're in your 20's, the investment strategy is the same.  The endowment is designed to generate income of some amount, on average, over the long term.  You can draw from the endowment even in ""down years"".  The rule of thumb is 4-6% is a sustainable rate that won't overtax the endowment (usually, but you have to keep an eye on it). On $1.2M, that's $48,000 to $72,000 per year.  Not half bad.  See, I told you it could work.  Read Jane Austen?  Mister Darcy, referred to as a gentleman of 10,000 pounds -- meaning his assets were many times that, but they yield income of £10,000 a year.  Same idea.  Keep in mind that you need to pay taxes. But if you plan your investments so you're holding them more than a year, you're in the much lower 0-10-15% capital gains tax bracket.  So, here's where I'd like you to go.   I would say more, but this will give you quite an education by itself.  Say you gave all your money to me.  And said ""Your nonprofit needs an executive director. Fund it. In perpetuity.""  I'd say ""Thank you"", ""you're right"", and I'd create an endowment and invest it about like this.  That is fairly close to the standard mix you'll find in most endowments, because that is what's considered ""prudent"" under endowment law (UPMIFA). I'd carry all that in a Vanguard or Fidelity account and follow Bogle's advice on limiting fees.  That said, dollar-cost-averaging is not a suicide pact, and bonds are ugly right now (for reason Suze Orman describes) and real estate seems really bubbly right now... so I'd back out of those for now.   I'd aim to draw about $60k/year out of it or 5%, and on average, in the very long term, the capital should grow. I would adjust it downward somewhat if the next few years are a hard recession, to avoid taking too much out of the capital... and resist the urge to take more out in boom years, because that is your hedge against the next recession. Over 7% is not prudent per the law (absent very reasonable reasons). UPMIFA doesn't apply to you, but I'd act as if it did.  A very reasonable reason to take more than 7% would be to shift investment into a house for living in.  I would aim for a duplex/triplex to also have income from the property, if the numbers made sense, which they often don't in California, but that's another question.  At your financial level -- never, never, never give cash to a charity.  You will get marked as a ""soft target"" and every commercial fundraiser on earth will stalk you for the rest of your life. At your level, you open a Donor Advised Fund, and let the Fund do your giving for you.  Once you've funded it (which is tax deductible) you later tell them which charities to fund when.  They screen out fake charities and protect your identity. I discuss DAFs at length here.  Now when ""charities"" harass you for an immediate handout, just tell them that's not how you support charities."
44,290,"Do I need an Investment Adviser?  No, but you may want to explore the idea of having one. Is he going to tell me anything that my accountant can't?  Probably. How much expertise are you expecting from your accountant here? Do you think your accountant knows everything within the realms of money from taxes, insurance products, investments and all your choices and what would work or wouldn't? Seems like it could be a tall order to my mind. My accountant did say to come to him for advice on investment/business   issues. So, he is willing, but is he able? Not asking about his   competence, but rather ""is there something that only an Investment   Adviser can provide, by law, that an accountant can't""? Not that I know though don't forget how much expertise are you expecting here from one person. Is this person intended to answer all your money questions? But isn't that something that my accountant could/should do? Perhaps though how well are you expecting one person to be aware of so much stuff? I want you to know all the tax law so I can minimize taxes, maximize my investment returns, cover me with adequate insurance, and protect my savings seems like a bit much to put on one entity. Do I need either of them? Won't the Internet and sites like this one   suffice? Need no. However, how much time are you prepared to spend learning the basics of strategies that work for you? How much money are you prepared to put into things to learn what works and doesn't? While it is your decision, consider how to what extent do you diagnose your medical issues through the internet versus going to see a doctor? Be careful of how much of a do it yourself approach you want to go here and recognize that there are multiple approaches that may work. The question is which trade-offs are OK for you."
45,15771,"Alright so you have $12,000 and you want to know what to do with it. The main thing here is, you're new to investments. I suggest you don't do anything quick and start learning about the different kinds of investment options that can be available to you with returns you might appreciate.  The most important questions to ask yourself is what are your life goals? What kind of financial freedom do you want, and how important is this $12,000 dollars to you in achieving your life goals.  My best advice to you and to anyone else who is looking for a place to put their money in big or small amounts when they have earned this money not from an investment but hard work is to find a talented and professional financial advisor. You need to be educated on the options you have, and keep them in lines of what risks you are willing to take and how important that principal investment is to you. Investing your money is not easy at all, and novices tend to lose their money a lot. The same way you would ask a lawyer for law advice, its best to consult a financial planner for advice, or so they can invest that money for you."
46,4747,"It sounds like the kinds of planners you're talking to might be a poor fit, because they are essentially salespersons selling investments for a commission. Some thoughts on finding a financial planner The good kind of financial planner is going to be able to do a comprehensive plan - look at your whole life, goals, and non-investment issues such as insurance. You should expect to get a document with a Monte Carlo simulation showing your odds of success if you stick to the plan; for investments, you should expect to see a recommended asset allocation and an emphasis on low-cost no-commission (commission is ""load"") funds. See some of the other questions from past posts, for example What exactly can a financial advisor do for me, and is it worth the money? A good place to start for a planner might be http://napfa.org ; there's also a franchise of planners providing hourly advice called the Garrett Planning Network, I helped my mom hire someone from them and she was very happy, though I do think your results would depend mostly on the individual rather than the franchise. Anyway see http://www.garrettplanningnetwork.com/map.html , they do require planners to be fee-only and working on their CFP credential. You should really look for the Certified Financial Planner (CFP) credential. There are a lot of credentials out there, but many of them mean very little, and others might be hard to get but not mean the right thing. Some other meaningful ones include Chartered Financial Analyst (CFA) which would be a solid investment expert, though not necessarily someone knowledgeable in financial planning generally; and IRS Enrolled Agent, which means someone who knows a lot about taxes. A CPA (accountant) would also be pretty meaningful. A law degree (and estate law know-how) is very relevant to many planning situations, too. Some not-very-meaningful certifications include Certified Mutual Fund Specialist (which isn't bogus, but it's much easier to get than CFP or CFA); Registered Investment Adviser (RIA) which mostly means the person is supposed to understand securities fraud laws, but doesn't mean they know a lot about financial planning. There are some pretty bogus certifications out there, many have ""retirement"" or ""senior"" in the name. A good question for any planner is ""Are you a fiduciary?"" which means are they legally required to act in your interests and not their own. Most sales-oriented advisors are not fiduciaries; they wouldn't charge you a big sales commission if they were, and they are not ""on your side"" legally speaking. It's a good idea to check with your state regulators or the SEC to confirm that your advisor is registered and ask if they have had any complaints. (Small advisors usually register with the state and larger ones with the federal SEC). If they are registered, they may still be a salesperson who isn't acting in your interests, but at least they are following the law. You can also see if they've been in trouble in the past. When looking for a planner, one firm I found had a professional looking web site and didn't seem sketchy at all, but the state said they were not properly registered and not in compliance. Other ideas A good book is: http://www.amazon.com/Smart-Simple-Financial-Strategies-People/dp/0743269942 it's very approachable and you'd feel more confident talking to someone maybe with more background information. For companies to work with, stick to the ones that are very consumer-friendly and sell no-load funds. Vanguard is probably the one you'll hear about most. But T. Rowe Price, Fidelity, USAA are some other good names. Fidelity is a bit of a mixture, with some cheap consumer-friendly investments and other products that are less so. Avoid companies that are all about charging commission: pretty much anyone selling an annuity is probably bad news. Annuities have some valid uses but mostly they are a bad deal. Not knowing your specific situation in any detail, it's very likely that 60k is not nearly enough, and that making the right investment choices will make only a small difference. You could invest poorly and maybe end up with 50K when you retire, or invest well and maybe end up with 80-90k. But your goal is probably more like a million dollars, or more, and most of that will come from future savings. This is what a planner can help you figure out in detail. It's virtually certain that any planner who is for real, and not a ripoff salesperson, will talk a lot about how much you need to save and so forth, not just about choosing investments. Don't be afraid to pay for a planner. It's well worth it to pay someone a thousand dollars for a really thorough, fiduciary plan with your interests foremost. The ""free"" planners who get a commission are going to get a whole lot more than a thousand dollars out of you, even though you won't write a check directly. Be sure to convert those mutual fund expense ratios and sales commissions into actual dollar amounts! To summarize: find someone you're paying, not someone getting a commission; look for that CFP credential showing they passed a demanding exam; maybe read a quick and easy book like the one I mentioned just so you know what the advisor is talking about; and don't rush into anything! And btw, I think you ought to be fine with a solid plan. You and your husband have time remaining to work with. Good luck."
47,2950,"I have money to invest. Where should I put it? Anyone who answers with ""Give it to me, I'll invest it for you, don't worry."" needs to be avoided. If your financial advisor gives you this line or equivalent, fire him/her and find another. Before you think about where you should put your money, learn about investing. Take courses, read books, consume blogs and videos on investing in stocks, businesses, real estate, and precious metals. Learn what the risks and rewards are for each, and make an informed decision based on what you learned. Find differing opinions on each type of investment and come to your own conclusions for each. I for example, do not understand stocks, and so do not seriously work the stock market.  Mutual funds make money for the folks selling them whether or not the price goes up or down. You assume all the risk while the mutual fund advisor gets the reward. If you find a mutual fund advisor who cannot recommend the purchase of a product he doesn't sell, he's not an advisor, he's a salesman. Investing in business requires you either to intimately understand businesses and how to fund them, or to hire someone who can make an objective evaluation for you. Again this requires training. I have no such training, and avoid investing in businesses. Investing in real estate also requires you to know what to look for in a property that produces cash flow or capital gains. I took a course, read some books, gained experience and have a knowledgeable team at my disposal so my wins are greater than my losses. Do not be fooled by people telling you that higher risk means higher reward. Risks that you understand and have a detailed plan to mitigate are not risks. It is possible to have higher reward without increasing risk. Again, do your own research. The richest people in the world do not own mutual funds or IRAs or RRSPs or TFSAs, they do their own research and invest in the things I mentioned above."
48,11387,"Exactly what you do with the money depends on various personal choices you'll have to make for yourself.  Investing your money in Vanguard index funds such as the ones you mentioned is certainly one smart move.  However, I think you're quite right to be suspicious of an advisor with a 1% fee.  In many cases, such advisors are not worth their costs.  The thing to remember is that, typically with that type of fee structure, you always pay the costs, even if the advisor turns out to be wrong and your money doesn't grow. One thing to check is whether the advisor you mentioned is paid only by the fees he charges (a ""fee-only financial planner') , or whether he also makes money via the sales of financial products.  Some advisors earn money by selling you financial products (such as mutual funds), which can create a conflict of interest.  You can read about fee-only financial advisors and choosing a financial advisor on Investopedia."
49,10489,"You need to have them consult with a financial adviser that has a focus on issues for seniors. This is because they are beyond the saving for retirement phase and are now in the making-their-money-last phase. They also have issues related to health insurance, IRA RMDs, long term care insurance. The adviser will need to review what they have and determine how to make sure it is what they need. It is great idea for you to go along with them so you can understand what needs to be done. You will want an adviser that charges you a fee for making the plan, not one that makes a commission based on what products you buy or invest in."
50,11732,Given what you state you should shop around for an advisor. Think of the time required to pursue your strategies that you list? They already have studied much of what you seek to learn about. Any good investor should understand the basics. This is Canadian based but many of the concepts are universal. Hope you find it helpful. http://www.getsmarteraboutmoney.ca/Pages/default.aspx
